id,name,route,departure_time,arrival_time,status,priority,capacity,current_station,delay_minutes,train_type,operator
T025,Regional C,Express Terminal-Commuter Hub,2025-09-11T02:51:22.911374,2025-09-11T04:23:22.911374,boarding,3,124,,12,Regional,Metro Rail
T026,Freight 4001,Metro Center-North Terminal,2025-09-11T04:02:22.911374,2025-09-11T05:41:22.911374,departed,4,70,,0,Freight,RailOptima Express
T027,Local D,Regional Station-Interchange Point,2025-09-11T02:05:22.911374,2025-09-11T03:18:22.911374,scheduled,3,223,,0,Local,Metro Rail
T028,Local C,Metro Center-East Gate,2025-09-11T03:25:22.911374,2025-09-11T05:01:22.911374,departed,3,61,,0,Local,Freight Lines
T029,Local A,Express Terminal-Regional Station,2025-09-11T03:36:22.911374,2025-09-11T04:18:22.911374,boarding,2,272,S017,0,Local,RailOptima Express
T030,High-Speed A,Transit Point-Interchange Point,2025-09-11T03:31:22.911374,2025-09-11T05:25:22.911374,departed,3,76,S010,21,High-Speed,Metro Rail
T031,Regional A,Interchange Point-Regional Station,2025-09-11T02:33:22.911374,2025-09-11T05:30:22.911374,boarding,3,183,S003,0,Regional,RailOptima Express
T032,Freight 6924,East Gate-City Center,2025-09-11T03:51:22.911374,2025-09-11T06:34:22.911374,boarding,4,100,,0,Freight,Regional Transit
T033,Regional C,Interchange Point-Commuter Hub,2025-09-11T02:01:22.911374,2025-09-11T03:21:22.911374,boarding,3,93,,0,Regional,RailOptima Express
T034,High-Speed D,Commuter Hub-Regional Station,2025-09-11T04:23:22.911374,2025-09-11T06:34:22.911374,departed,3,104,,0,High-Speed,Freight Lines
T035,Regional B,Commuter Hub-Express Terminal,2025-09-11T03:56:22.911374,2025-09-11T05:47:22.911374,departed,3,120,,18,Regional,City Commuter
T036,High-Speed C,Regional Station-Main Station,2025-09-11T04:07:22.911374,2025-09-11T06:27:22.911374,scheduled,3,117,,0,High-Speed,Metro Rail
T037,Regional A,City Center-North Terminal,2025-09-11T04:17:22.911374,2025-09-11T07:00:22.911374,departed,2,79,,27,Regional,Freight Lines
T038,Local B,Metro Center-Metro Center,2025-09-11T04:17:22.911374,2025-09-11T07:12:22.911374,boarding,3,189,,0,Local,Regional Transit
T039,Local D,Commuter Hub-Commuter Hub,2025-09-11T02:03:22.911374,2025-09-11T03:05:22.911374,departed,3,177,,0,Local,Metro Rail
T040,Express Delta,Express Terminal-Interchange Point,2025-09-11T03:14:22.911374,2025-09-11T04:40:22.911374,departed,2,88,,0,Express,City Commuter
T041,Local C,Regional Station-Metro Center,2025-09-11T04:24:22.911374,2025-09-11T06:26:22.911374,departed,2,212,,0,Local,Regional Transit
T042,Freight 4773,Regional Station-Regional Station,2025-09-11T01:39:22.911374,2025-09-11T02:51:22.911374,scheduled,3,70,,0,Freight,RailOptima Express
T043,Freight 4751,West Hub-City Center,2025-09-11T02:34:22.911374,2025-09-11T04:09:22.911374,arrived,3,58,,23,Freight,City Commuter
T044,Freight 9838,Interchange Point-Express Terminal,2025-09-11T02:53:22.911374,2025-09-11T05:13:22.911374,boarding,3,23,,0,Freight,Freight Lines
T045,High-Speed D,Regional Station-City Center,2025-09-11T03:48:22.911374,2025-09-11T04:57:22.911374,departed,3,141,,0,High-Speed,City Commuter
T046,High-Speed A,Regional Station-West Hub,2025-09-11T02:55:22.911374,2025-09-11T05:30:22.911374,departed,2,150,,0,High-Speed,Regional Transit
T047,Freight 5422,Metro Center-Regional Station,2025-09-11T03:48:22.911374,2025-09-11T05:16:22.911374,scheduled,4,89,,0,Freight,Freight Lines
T048,Regional A,Main Station-Interchange Point,2025-09-11T02:31:22.911374,2025-09-11T05:31:22.911374,departed,2,66,,0,Regional,RailOptima Express
T049,Express Gamma,Regional Station-Metro Center,2025-09-11T02:25:22.911374,2025-09-11T05:16:22.911374,scheduled,2,50,,0,Express,Freight Lines
T050,Local D,Transit Point-Commuter Hub,2025-09-11T02:54:22.911374,2025-09-11T04:29:22.911374,arrived,2,89,,0,Local,Regional Transit
